core_place,related_rank,related_place,visitjeju_match_name,category_datalab,address_datalab,period_start,period_end,source,visitjeju_id,category_visitjeju,place_name_visitjeju,address_visitjeju,latitude,longitude,visitjeju_matched
오설록티뮤지엄,4,용머리해안,용머리해안,기타관광,제주특별자치도 서귀포시,202507,202607,KTO DataLab,CONT_000000000500471,관광지,용머리해안,제주특별자치도 서귀포시 안덕면 사계리 112-3,33.2334272,126.313741,True
오설록티뮤지엄,5,서귀포매일올레시장,서귀포매일올레시장,쇼핑,제주특별자치도 서귀포시,202507,202607,KTO DataLab,CONT_000000000500731,쇼핑,서귀포매일올레시장,서귀포시 중앙로 62번길 18,33.24828,126.56415,True
섭지코지,1,성산일출봉,성산일출봉,자연관광,제주특별자치도 서귀포시,202507,202607,KTO DataLab,CONT_000000000500349,관광지,성산일출봉,제주특별자치도 서귀포시 성산읍 일출로 284-12,33.462147,126.936424,True
섭지코지,2,아쿠아플라넷/제주,아쿠아플라넷 제주,문화관광,제주특별자치도 서귀포시,202507,202607,KTO DataLab,CONT_000000000500565,관광지,아쿠아플라넷 제주,제주특별자치도 서귀포시 성산읍 섭지코지로 95,33.4325283,126.9272108,True
섭지코지,3,서귀피안베이커리,서귀피안 베이커리,음식,제주특별자치도 서귀포시,202507,202607,KTO DataLab,CNTS_200000000012788,음식점,서귀피안 베이커리,제주특별자치도 서귀포시 성산읍 신양로122번길 17(2층),33.4352867,126.9218661,True
섭지코지,4,광치기해변,광치기해변,자연관광,제주특별자치도 서귀포시,202507,202607,KTO DataLab,CNTS_000000000018413,관광지,광치기해변,제주특별자치도 서귀포시 성산읍 섭지코지로 63,33.452452755358465,126.92458139419557,True
섭지코지,5,성산포종합여객터미널,성산포항종합여객터미널,기타관광,제주특별자치도 서귀포시,202507,202607,KTO DataLab,CNTS_000000000022377,관광지,성산포항종합여객터미널,서귀포시 성산읍 성산등용로 130-21,33.47211,126.9332,True
주상절리대,1,서귀포매일올레시장,서귀포매일올레시장,쇼핑,제주특별자치도 서귀포시,202507,202607,KTO DataLab,CONT_000000000500731,쇼핑,서귀포매일올레시장,서귀포시 중앙로 62번길 18,33.24828,126.56415,True
주상절리대,2,천제연폭포,천제연폭포 & 제주4.3중문면희생자위령비,자연관광,제주특별자치도 서귀포시,202507,202607,KTO DataLab,CNTS_000000000022879,관광지,천제연폭포 & 제주4.3중문면희생자위령비,제주특별자치도 서귀포시 천제연로 132,33.252678,126.41844,True
주상절리대,3,천지연폭포,천지연폭포,자연관광,제주특별자치도 서귀포시,202507,202607,KTO DataLab,CONT_000000000500618,관광지,천지연폭포,제주특별자치도 서귀포시 남성중로 2-15,33.2447173,126.5598201,True
주상절리대,4,용머리해안,용머리해안,기타관광,제주특별자치도 서귀포시,202507,202607,KTO DataLab,CONT_000000000500471,관광지,용머리해안,제주특별자치도 서귀포시 안덕면 사계리 112-3,33.2334272,126.313741,True
주상절리대,5,연돈,연돈,음식,제주특별자치도 서귀포시,202507,202607,KTO DataLab,,,,,,,False
용머리해안,1,오설록티뮤지엄,오설록 티 뮤지엄,문화관광,제주특별자치도 서귀포시,202507,202607,KTO DataLab,CONT_000000000500457,관광지,오설록 티 뮤지엄,제주특별자치도 서귀포시 안덕면 신화역사로 15,33.30601,126.2901309,True
용머리해안,2,산방산,산방산,자연관광,제주특별자치도 서귀포시,202507,202607,KTO DataLab,CONT_000000000500285,관광지,산방산,제주특별자치도 서귀포시 안덕면 사계리 산 16,33.236614,126.31289,True
용머리해안,3,주상절리대,대포해안주상절리대,기타관광,제주특별자치도 서귀포시,202507,202607,KTO DataLab,CNTS_000000000020476,관광지,대포해안주상절리대,제주특별자치도 서귀포시 이어도로 36-24,33.23834,126.42586,True
용머리해안,4,서귀포매일올레시장,서귀포매일올레시장,쇼핑,제주특별자치도 서귀포시,202507,202607,KTO DataLab,CONT_000000000500731,쇼핑,서귀포매일올레시장,서귀포시 중앙로 62번길 18,33.24828,126.56415,True
용머리해안,5,산방산유채꽃밭,산방산유채꽃밭,기타관광,제주특별자치도 서귀포시,202507,202607,KTO DataLab,,,,,,,False
