link_id,prcn_dt,tfvl,sped,ocpy_rate,trvl_hh,snapshot_stat_dt,snapshot_saved_at
4060006902,20260915232500,0,15,0,11,2026091523,2026-09-15 23:29:26
4050042600,20260915232500,0,42,0,12,2026091523,2026-09-15 23:29:26
4050019000,20260915232500,0,52,0,8,2026091523,2026-09-15 23:29:26
4050069200,20260915232500,0,19,0,26,2026091523,2026-09-15 23:29:26
4050013700,20260915232500,0,47,0,9,2026091523,2026-09-15 23:29:26
4060005800,20260915232500,0,44,0,72,2026091523,2026-09-15 23:29:26
4060033600,20260915232500,0,32,0,6,2026091523,2026-09-15 23:29:26
4050166900,20260915232500,0,38,0,51,2026091523,2026-09-15 23:29:26
4060010105,20260915232500,0,48,0,15,2026091523,2026-09-15 23:29:26
4060010104,20260915232500,0,48,0,1,2026091523,2026-09-15 23:29:26
4060010103,20260915232500,0,48,0,1,2026091523,2026-09-15 23:29:26
4050012600,20260915232500,0,11,0,27,2026091523,2026-09-15 23:29:26
4060004701,20260915232500,0,36,0,16,2026091523,2026-09-15 23:29:26
4050040400,20260915232500,0,29,0,12,2026091523,2026-09-15 23:29:26
4050165800,20260915232500,0,34,0,18,2026091523,2026-09-15 23:29:26
4050193600,20260915232500,0,24,0,30,2026091523,2026-09-15 23:29:26
4050011500,20260915232500,0,6,0,140,2026091523,2026-09-15 23:29:26
4060003600,20260915232500,0,36,0,9,2026091523,2026-09-15 23:29:26
4050142300,20260915232500,0,50,0,9,2026091523,2026-09-15 23:29:26
4050136900,20260915232500,0,8,0,7,2026091523,2026-09-15 23:29:26
4050061700,20260915232500,0,50,0,11,2026091523,2026-09-15 23:29:26
4060053800,20260915232500,0,37,0,9,2026091523,2026-09-15 23:29:26
4050088300,20260915232500,0,27,0,39,2026091523,2026-09-15 23:29:26
4050010400,20260915232500,0,35,0,21,2026091523,2026-09-15 23:29:26
4050113400,20260915232500,0,35,0,12,2026091523,2026-09-15 23:29:26
4050141200,20260915232500,0,45,0,28,2026091523,2026-09-15 23:29:26
4060024900,20260915232500,0,45,0,297,2026091523,2026-09-15 23:29:26
4050191400,20260915232500,0,26,0,25,2026091523,2026-09-15 23:29:26
4050009200,20260915232500,0,60,0,15,2026091523,2026-09-15 23:29:26
4050059400,20260915232500,0,43,0,13,2026091523,2026-09-15 23:29:26
4060001404,20260915232500,0,53,0,2,2026091523,2026-09-15 23:29:26
4060001402,20260915232500,0,58,0,4,2026091523,2026-09-15 23:29:26
4050106900,20260915232500,0,37,0,18,2026091523,2026-09-15 23:29:26
4060001401,20260915232500,0,58,0,6,2026091523,2026-09-15 23:29:26
4050031702,20260915232500,0,58,0,58,2026091523,2026-09-15 23:29:26
4050031701,20260915232500,0,36,0,5,2026091523,2026-09-15 23:29:26
4060126800,20260915232500,0,34,0,27,2026091523,2026-09-15 23:29:26
4050008108,20260915232500,0,28,0,12,2026091523,2026-09-15 23:29:26
4050008107,20260915232500,0,42,0,24,2026091523,2026-09-15 23:29:26
4050008106,20260915232500,0,42,0,16,2026091523,2026-09-15 23:29:26
4050008105,20260915232500,0,42,0,57,2026091523,2026-09-15 23:29:26
4050008104,20260915232500,0,33,0,9,2026091523,2026-09-15 23:29:26
4050008103,20260915232500,0,37,0,42,2026091523,2026-09-15 23:29:26
4050008102,20260915232500,0,37,0,139,2026091523,2026-09-15 23:29:26
4050008101,20260915232500,0,37,0,5,2026091523,2026-09-15 23:29:26
4060000303,20260915232500,0,38,0,177,2026091523,2026-09-15 23:29:26
4060000301,20260915232500,0,52,0,5,2026091523,2026-09-15 23:29:26
4050030600,20260915232500,0,28,0,36,2026091523,2026-09-15 23:29:26
4050161400,20260915232500,0,41,0,21,2026091523,2026-09-15 23:29:26
4050007000,20260915232500,0,43,0,23,2026091523,2026-09-15 23:29:26
4050029402,20260915232500,0,41,0,13,2026091523,2026-09-15 23:29:26
4050029401,20260915232500,0,41,0,8,2026091523,2026-09-15 23:29:26
4050001702,20260915232500,0,50,0,9,2026091523,2026-09-15 23:29:26
4050001701,20260915232500,0,50,0,44,2026091523,2026-09-15 23:29:26
4060021600,20260915232500,0,54,0,53,2026091523,2026-09-15 23:29:26
4050051900,20260915232500,0,39,0,30,2026091523,2026-09-15 23:29:26
4050160300,20260915232500,0,29,0,23,2026091523,2026-09-15 23:29:26
4050154900,20260915232500,0,46,0,17,2026091523,2026-09-15 23:29:26
4050028300,20260915232500,0,30,0,26,2026091523,2026-09-15 23:29:26
4060020507,20260915232500,0,54,0,260,2026091523,2026-09-15 23:29:26
4060020506,20260915232500,0,54,0,5,2026091523,2026-09-15 23:29:26
4060020505,20260915232500,0,54,0,53,2026091523,2026-09-15 23:29:26
4060020504,20260915232500,0,54,0,3,2026091523,2026-09-15 23:29:26
4060020503,20260915232500,0,54,0,97,2026091523,2026-09-15 23:29:26
4050131400,20260915232500,0,38,0,35,2026091523,2026-09-15 23:29:26
4060020502,20260915232500,0,54,0,10,2026091523,2026-09-15 23:29:26
4060020501,20260915232500,0,54,0,62,2026091523,2026-09-15 23:29:26
4060042900,20260915232500,0,24,0,29,2026091523,2026-09-15 23:29:26
4050027201,20260915232500,0,40,0,22,2026091523,2026-09-15 23:29:26
4060019302,20260915232500,2,34,0,77,2026091523,2026-09-15 23:29:26
4050102500,20260915232500,0,16,0,50,2026091523,2026-09-15 23:29:26
4050021900,20260915232500,0,13,0,41,2026091523,2026-09-15 23:29:26
4050124900,20260915232500,0,44,0,27,2026091523,2026-09-15 23:29:26
4050180500,20260915232500,0,26,0,11,2026091523,2026-09-15 23:29:26
4050026100,20260915232500,0,41,0,12,2026091523,2026-09-15 23:29:26
4060018200,20260915232500,10,60,0,60,2026091523,2026-09-15 23:29:26
4050048500,20260915232500,0,55,0,9,2026091523,2026-09-15 23:29:26
4050020802,20260915232500,0,32,0,29,2026091523,2026-09-15 23:29:26
4050025000,20260915232500,0,43,0,6,2026091523,2026-09-15 23:29:26
4050019600,20260915232500,0,48,0,18,2026091523,2026-09-15 23:29:26
4060017100,20260915232500,0,71,0,72,2026091523,2026-09-15 23:29:26
4060011803,20260915232500,0,40,0,3,2026091523,2026-09-15 23:29:26
4060011802,20260915232500,0,40,0,35,2026091523,2026-09-15 23:29:26
4050150500,20260915232500,0,12,0,55,2026091523,2026-09-15 23:29:26
4050018503,20260915232500,0,46,0,5,2026091523,2026-09-15 23:29:26
4050018501,20260915232500,0,42,0,12,2026091523,2026-09-15 23:29:26
4050046300,20260915232500,0,30,0,13,2026091523,2026-09-15 23:29:26
4050149300,20260915232500,0,27,0,34,2026091523,2026-09-15 23:29:26
4050177100,20260915232500,0,14,0,21,2026091523,2026-09-15 23:29:26
4060010700,20260915232500,0,48,0,89,2026091523,2026-09-15 23:29:26
4050017400,20260915232500,0,12,0,87,2026091523,2026-09-15 23:29:26
4050176000,20260915232500,0,26,0,7,2026091523,2026-09-15 23:29:26
4050170700,20260915232500,0,37,0,22,2026091523,2026-09-15 23:29:26
4050016300,20260915232500,0,31,0,14,2026091523,2026-09-15 23:29:26
4060008401,20260915232500,0,42,0,13,2026091523,2026-09-15 23:29:26
4060058600,20260915232500,0,41,0,19,2026091523,2026-09-15 23:29:26
4050094300,20260915232500,0,44,0,9,2026091523,2026-09-15 23:29:26
4050088900,20260915232500,0,39,0,20,2026091523,2026-09-15 23:29:26
4060133900,20260915232500,0,39,0,23,2026091523,2026-09-15 23:29:26
4050025302,20260915232500,0,19,0,23,2026091523,2026-09-15 23:29:26
4050025301,20260915232500,0,10,0,46,2026091523,2026-09-15 23:29:26
4050019900,20260915232500,0,48,0,4,2026091523,2026-09-15 23:29:26
4050047700,20260915232500,0,42,0,23,2026091523,2026-09-15 23:29:26
4050178500,20260915232500,0,12,0,85,2026091523,2026-09-15 23:29:26
4050097900,20260915232500,0,23,0,16,2026091523,2026-09-15 23:29:26
4050150800,20260915232500,0,14,0,45,2026091523,2026-09-15 23:29:26
4050018800,20260915232500,0,42,0,16,2026091523,2026-09-15 23:29:26
4050052000,20260915232500,0,18,0,65,2026091523,2026-09-15 23:29:26
4050046600,20260915232500,0,14,0,34,2026091523,2026-09-15 23:29:26
4050155000,20260915232500,0,22,0,36,2026091523,2026-09-15 23:29:26
4060044100,20260915232500,0,35,0,16,2026091523,2026-09-15 23:29:26
4050199800,20260915232500,0,39,0,12,2026091523,2026-09-15 23:29:26
4060141800,20260915232500,0,13,0,92,2026091523,2026-09-15 23:29:26
4050023100,20260915232500,0,13,0,21,2026091523,2026-09-15 23:29:26
4050017700,20260915232500,0,49,0,5,2026091523,2026-09-15 23:29:26
4060009802,20260915232500,0,33,0,36,2026091523,2026-09-15 23:29:26
4060009801,20260915232500,0,48,0,6,2026091523,2026-09-15 23:29:26
4060015200,20260915232500,0,63,0,22,2026091523,2026-09-15 23:29:26
4050022000,20260915232500,0,40,0,13,2026091523,2026-09-15 23:29:26
4050016600,20260915232500,0,32,0,15,2026091523,2026-09-15 23:29:26
4050125000,20260915232500,0,18,0,67,2026091523,2026-09-15 23:29:26
4050175200,20260915232500,0,37,0,55,2026091523,2026-09-15 23:29:26
4050015500,20260915232500,0,21,0,23,2026091523,2026-09-15 23:29:26
4060013002,20260915232500,0,60,0,17,2026091523,2026-09-15 23:29:26
4060013001,20260915232500,0,36,0,15,2026091523,2026-09-15 23:29:26
4050043300,20260915232500,0,38,0,21,2026091523,2026-09-15 23:29:26
4060057800,20260915232500,0,36,0,16,2026091523,2026-09-15 23:29:26
4050014400,20260915232500,0,9,0,46,2026091523,2026-09-15 23:29:26
